id,title,type,reasons,sourceUrl
vk-p-24,Часы «Сила Волка»,product,audit_review,https://vk.com/market-226854094?w=product-226854094_12001991
vk-p-34,Вольт,product,audit_review,https://vk.com/market-226854094?w=product-226854094_12017825
